time,values
0,4126
1,4126
2,4126
3,4126
4,4126
5,4568
6,5524
7,6479
8,7435
9,8390
10,9346
11,9556
12,9556
13,9556
14,9556
15,9788
16,10744
17,11506
18,11506
19,11506
20,11506
21,11506
22,11506
23,11506
24,11506
25,11506
26,11506
27,11506
28,11302
29,10346
30,9556
31,9556
32,9556
33,9556
34,9556
35,9113
36,8157
37,7202
38,6247
39,5291
40,4336
41,4126
42,4126
43,4126
44,4126
45,4058
46,3103
47,2176
48,2176
49,2176
50,2176
51,2176
52,2176
53,2176
54,2176
55,2176
56,2176
57,2176
58,2215
59,3170
60,4126
61,4126
62,-9529
63,-10188
64,-10847
65,-11506
66,-11324
67,-11053
68,-10782
69,-10510
70,-10239
71,-9968
72,-9697
73,-9426
74,-9155
75,-8883
76,-8612
77,-8341
78,-8070
79,-7799
80,-7528
81,-7257
82,-6985
83,-6549
84,-5890
85,-5231
86,-4771
87,-4500
88,-4230
89,-3960
90,-3689
91,-3418
92,-3148
93,-2878
94,-2607
95,-2337
96,-2066
97,-1796
98,-1526
99,-1255
100,-985
101,-714
102,-444
103,-210
104,-870
105,-1529
106,-2189
107,-2450
108,-2708
109,-2966
110,-3225
111,-3877
112,-4536
113,-5195
114,-5854
115,-6513
116,-7172
117,-7831
118,-8484
119,-8745
120,-9006
121,-9268
122,-9529
123,-3889
124,-3981
125,-4072
126,-4163
127,-4255
128,-4346
129,-4438
130,-4529
131,-4620
132,-4712
133,-4803
134,-4895
135,-4986
136,-5078
137,-5169
138,-5260
139,-5352
140,-5443
141,-5535
142,-5626
143,-5717
144,-5809
145,-5901
146,-5993
147,-6085
148,-6177
149,-6269
150,-6361
151,-6453
152,-6545
153,-6637
154,-6729
155,-6821
156,-6913
157,-7005
158,-7097
159,-7189
160,-7280
161,-7373
162,-7465
163,-7557
164,-7649
165,-7741
166,-7833
167,-7605
168,-7373
169,-7141
170,-6909
171,-6676
172,-6444
173,-6212
174,-5980
175,-5747
176,-5515
177,-5283
178,-5051
179,-4819
180,-4586
181,-4354
182,-4122
183,-3889
184,-3889
185,-3889
186,-3889
187,-3889
188,-3889
189,-3889
