time,values
0,0.3601276277
1,0.3601276277
2,0.3601276277
3,0.3601276277
4,0.3601276277
5,0.3601276277
6,0.3601276277
7,0.3601276277
8,0.3601276277
9,0.3601276277
10,0.3601276277
11,0.3601276277
12,0.3601276277
13,0.3601276277
14,0.3601276277
15,0.3601276277
16,0.3601276277
17,0.3601276277
18,0.3601276277
19,0.3601276277
20,0.3601276277
21,0.3601276277
22,0.3601276277
23,0.3601276277
24,0.3601276277
25,0.3601276277
26,0.3601276277
27,0.3601276277
28,0.3601276277
29,0.3601276277
30,0.3601276277
31,0.3601276277
32,0.3601276277
33,0.3601276277
34,0.3601276277
35,0.3601276277
36,0.3601276277
37,0.3601276277
38,0.3601276277
39,0.3601276277
40,0.3601276277
41,0.3601276277
42,0.3601276277
43,0.3601276277
44,0.3601276277
45,0.3601276277
46,0.3601276277
47,0.3601276277
48,0.3601276277
49,0.3601276277
50,0.3601276277
51,0.3601276277
52,0.3601276277
53,0.3601276277
54,0.3601276277
55,0.3601276277
56,0.3601276277
57,0.3601276277
58,0.3601276277
59,0.3601276277
60,0.3601276277
61,0.3601276277
62,0.3601276277
63,0.3601276277
64,0.3601276277
65,0.3601276277
66,0.3601276277
67,0.3601276277
68,0.3601276277
69,0.3601276277
70,0.3601276277
71,0.3601276277
72,0.3601276277
73,0.3601276277
74,0.3601276277
75,0.3601276277
76,0.3601276277
77,0.3601276277
78,0.3610987077
79,0.3659367671
80,0.3707748265
81,0.3756042155
82,0.3804509453
83,0.3852890047
84,0.3901183937
85,0.3949391124
86,0.3997598311
87,0.4045892201
88,0.4094186092
89,0.4142566686
90,0.4190860576
91,0.4239154467
92,0.4287448357
93,0.4335828951
94,0.4384122842
95,0.4432416732
96,0.4480710622
97,0.4529004513
98,0.4577385107
99,0.4625678997
100,0.4674059591
101,0.4722440185
102,0.4770907483
103,0.4819288077
104,0.4867668671
105,0.4915962561
106,0.4964343155
107,0.5012637046
108,0.5060930936
109,0.5109138123
110,0.5157432014
111,0.52056392
112,0.5253933091
113,0.5302140278
114,0.5350434168
115,0.5398728059
116,0.5447021949
117,0.5495315839
118,0.554360973
119,0.559190362
120,0.5640284214
121,0.5688578105
122,0.5736871995
123,0.5785165886
124,0.5833459776
125,0.5881753666
126,0.593013426
127,0.5978428151
128,0.6026722041
129,0.6075015932
130,0.6123309822
131,0.6171603713
132,0.6219897603
133,0.6268278197
134,0.6316572088
135,0.6364865978
136,0.6413246572
137,0.6461540462
138,0.6509834353
139,0.6558214947
140,0.6606508837
141,0.6654802728
142,0.6703009915
143,0.6751303805
144,0.6799510992
145,0.6847718179
146,0.6896012069
147,0.6944219256
148,0.6992513146
149,0.7040807037
150,0.7089187631
151,0.7137481521
152,0.7185862115
153,0.7234242709
154,0.7282710007
155,0.7331090601
156,0.7379471195
157,0.7427851789
158,0.7476145679
159,0.752443957
160,0.757273346
161,0.7621114054
162,0.7669407945
163,0.7717701835
164,0.7765995726
165,0.781437632
166,0.7862583506
167,0.791070399
168,0.795899788
169,0.8007291771
170,0.8055672365
171,0.8104139662
172,0.8152520256
173,0.8200814147
174,0.8249108037
175,0.8297488631
176,0.8309280317
177,0.8309280317
178,0.8309280317
179,0.8309280317
180,0.8309280317
181,0.8309280317
182,0.8309280317
183,0.8309280317
184,0.8309280317
185,0.8309280317
186,0.8309280317
187,0.8309280317
188,0.8309280317
189,0.8309280317
190,0.8309280317
191,0.8309280317
192,0.8309280317
193,0.8309280317
194,0.8309280317
195,0.8309280317
196,0.8309280317
197,0.8309280317
198,0.8309280317
199,0.8309280317
200,0.8309280317
201,0.8309280317
202,0.8309280317
203,0.8309280317
204,0.8309280317
205,0.8309280317
206,0.8309280317
207,0.8309280317
208,0.8309280317
209,0.8309280317
210,0.8309280317
211,0.8309280317
212,0.8309280317
213,0.8309280317
214,0.8309280317
215,0.8309280317
216,0.8309280317
217,0.8309280317
218,0.8309280317
219,0.8309280317
220,0.8309280317
221,0.8309280317
222,0.8309280317
223,0.8309280317
224,0.8309280317
225,0.8309280317
226,0.8309280317
227,0.8309280317
228,0.8309280317
229,0.8309280317
230,0.8309280317
231,0.8309280317
232,0.8309280317
233,0.8309280317
234,0.8309280317
235,0.8309280317
236,0.8309280317
237,0.8309280317
238,0.8309280317
239,0.8309280317
240,0.8309280317
241,0.8309280317
242,0.8309280317
243,0.8309280317
244,0.8309280317
245,0.8309280317
246,0.8309280317
247,0.8309280317
